movieId,title,genres,keywords
tt0985699,Valkyrie,"Drama, Thriller, War","friendship, suicide, plan, berlin, germany, husband wife relationship, assassination, nazi, bomb, resistance, military officer, world war ii, treason, deception, german officer, colonel, medal, operation valkyrie"
tt1001508,He's Just Not That Into You,"Comedy, Romance, Drama","based on novel or book, baltimore, usa, dating, relationship, break-up, duringcreditsstinger, online dating, dating woes, single woman"
tt1127180,Drag Me to Hell,"Horror, Thriller","work, gypsy, gore, curse, psychologist, psychic, evil, loan officer, obituary, engagement ring"
tt1985949,The Angry Birds Movie,"Animation, Adventure, Comedy","island, pig, rivalry, anthropomorphism, based on video game, duringcreditsstinger, anger management, animal kingdom, bird"
tt1403981,Remember Me,"Drama, Romance","new york city, parent child relationship, 9/11, grieving, young adult, college student"
tt3104988,Crazy Rich Asians,"Comedy, Drama, Romance","based on novel or book, professor, singapore, wedding, east asian lead, wealthy family, asian american"
tt0308644,Finding Neverland,Drama,"london, england, stroke of fate, becoming an adult, parent child relationship, faith, widow, theater play, peter pan, theatre group, author, illness, children's author"
tt4302938,Kubo and the Two Strings,"Animation, Adventure, Family","japan, samurai, magic, forgiveness, stop motion, storytelling, origami, feudal japan, mother son relationship"
tt3748172,Gerald's Game,"Horror, Thriller","child abuse, based on novel or book, childhood trauma, sorrow, car accident, eclipse, dog, ghost, memoirs"
tt1109624,Paddington,"Comedy, Adventure, Family","london, england, based on novel or book, peru, anthropomorphism, bear, based on children's book, family, talking to animals, children's book, taxidermist, live action and animation, personification, natural history museum"
tt1618442,The Last Witch Hunter,"Fantasy, Action, Adventure","witch, new york city, magic, superstition, black magic, man, aircraft, woman murder, witch hunter"
tt5541240,To the Bone,Drama,"smoking, arizona, artist, restaurant, anorexia, los angeles, california, pregnant woman, therapy, eating disorder"
tt0353969,Memories of Murder,"Crime, Drama, Thriller","assassin, rape, corruption, police, detective, investigation, victim, based on true story, based on play or musical, murder, serial killer, torture, brutality, killer, neo-noir, south korea"
tt0890870,Saw IV,"Horror, Thriller, Crime","pain, sadism, psychopath, fbi, victim, games, electric chair, doctor, torture, police officer, miscarriage, survival horror, death match, mind game, female corpse, death game"
tt2203939,The Other Woman,"Comedy, Romance","infidelity, revenge, unfaithful boyfriend, extramarital affair, unfaithful husband"
tt2452244,Isn't It Romantic,"Comedy, Fantasy, Romance","new york city, satire, romantic comedy, parody, romance, spoof, low self esteem, alternative present, alternative world, censored profanity"
tt0114898,Waterworld,"Adventure, Action, Science Fiction","sailboat, tattoo, based on novel or book, diving, ocean, mutant, post-apocalyptic future, pirate, oil tanker, environmental disaster, reluctant hero"
tt1125849,The Wrestler,"Drama, Romance","daughter, new jersey, supermarket, heart attack, redemption, ambition, barbed wire, stripper, steroids, fame, pro wrestling, pro wrestlers"
tt0363988,Secret Window,"Mystery, Thriller","adultery, jealousy, nightmare, police, isolation, alcohol, window, mississippi river, detective, paranoia, motel, letter, notebook, murder, arson, writer, divorce, ax"
tt3120280,Sierra Burgess Is a Loser,"Comedy, Drama, Romance","loser, based on play or musical, texting, stage adaptation, catfishing, ugly girl, popular girl, high school drama"
